Country Name,Country Code,2008 [YR2008] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2008 [YR2008] - Primary completion rate, both sexes (%) [SE.PRM.CMPT.ZS]","2008 [YR2008] - Adjusted net enrolment rate, upper secondary, both sexes (%) [UIS.NERA.3]","2008 [YR2008] - Graduates from ISCED 6 programmes in tertiary education, both sexes (number) [UIS.G.6.T]","2008 [YR2008] - Population, total [SP.POP.TOTL]","2008 [YR2008] - Graduates from tertiary education, both sexes (number) [SE.TER.GRAD]",2009 [YR2009] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2009 [YR2009] - Primary completion rate, both sexes (%) [SE.PRM.CMPT.ZS]","2009 [YR2009] - Adjusted net enrolment rate, upper secondary, both sexes (%) [UIS.NERA.3]","2009 [YR2009] - Graduates from ISCED 6 programmes in tertiary education, both sexes (number) [UIS.G.6.T]","2009 [YR2009] - Population, total [SP.POP.TOTL]","2009 [YR2009] - Graduates from tertiary education, both sexes (number) [SE.TER.GRAD]",2010 [YR2010] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2010 [YR2010] - Primary completion rate, both sexes (%) [SE.PRM.CMPT.ZS]","2010 [YR2010] - Adjusted net enrolment rate, upper secondary, both sexes (%) [UIS.NERA.3]","2010 [YR2010] - Graduates from ISCED 6 programmes in tertiary education, both sexes (number) [UIS.G.6.T]","2010 [YR2010] - Population, total [SP.POP.TOTL]","2010 [YR2010] - Graduates from tertiary education, both sexes (number) [SE.TER.GRAD]",2011 [YR2011] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2011 [YR2011] - Primary completion rate, both sexes (%) [SE.PRM.CMPT.ZS]","2011 [YR2011] - Adjusted net enrolment rate, upper secondary, both sexes (%) [UIS.NERA.3]","2011 [YR2011] - Graduates from ISCED 6 programmes in tertiary education, both sexes (number) [UIS.G.6.T]","2011 [YR2011] - Population, total [SP.POP.TOTL]","2011 [YR2011] - Graduates from tertiary education, both sexes (number) [SE.TER.GRAD]",2012 [YR2012] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2012 [YR2012] - Primary completion rate, both sexes (%) [SE.PRM.CMPT.ZS]","2012 [YR2012] - Adjusted net enrolment rate, upper secondary, both sexes (%) [UIS.NERA.3]","2012 [YR2012] - Graduates from ISCED 6 programmes in tertiary education, both sexes (number) [UIS.G.6.T]","2012 [YR2012] - Population, total [SP.POP.TOTL]","2012 [YR2012] - Graduates from tertiary education, both sexes (number) [SE.TER.GRAD]",2013 [YR2013] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2013 [YR2013] - Primary completion rate, both sexes (%) [SE.PRM.CMPT.ZS]","2013 [YR2013] - Adjusted net enrolment rate, upper secondary, both sexes (%) [UIS.NERA.3]","2013 [YR2013] - Graduates from ISCED 6 programmes in tertiary education, both sexes (number) [UIS.G.6.T]","2013 [YR2013] - Population, total [SP.POP.TOTL]","2013 [YR2013] - Graduates from tertiary education, both sexes (number) [SE.TER.GRAD]",2014 [YR2014] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2014 [YR2014] - Primary completion rate, both sexes (%) [SE.PRM.CMPT.ZS]","2014 [YR2014] - Adjusted net enrolment rate, upper secondary, both sexes (%) [UIS.NERA.3]","2014 [YR2014] - Graduates from ISCED 6 programmes in tertiary education, both sexes (number) [UIS.G.6.T]","2014 [YR2014] - Population, total [SP.POP.TOTL]","2014 [YR2014] - Graduates from tertiary education, both sexes (number) [SE.TER.GRAD]",2015 [YR2015] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2015 [YR2015] - Primary completion rate, both sexes (%) [SE.PRM.CMPT.ZS]","2015 [YR2015] - Adjusted net enrolment rate, upper secondary, both sexes (%) [UIS.NERA.3]","2015 [YR2015] - Graduates from ISCED 6 programmes in tertiary education, both sexes (number) [UIS.G.6.T]","2015 [YR2015] - Population, total [SP.POP.TOTL]","2015 [YR2015] - Graduates from tertiary education, both sexes (number) [SE.TER.GRAD]",2016 [YR2016] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2016 [YR2016] - Primary completion rate, both sexes (%) [SE.PRM.CMPT.ZS]","2016 [YR2016] - Adjusted net enrolment rate, upper secondary, both sexes (%) [UIS.NERA.3]","2016 [YR2016] - Graduates from ISCED 6 programmes in tertiary education, both sexes (number) [UIS.G.6.T]","2016 [YR2016] - Population, total [SP.POP.TOTL]","2016 [YR2016] - Graduates from tertiary education, both sexes (number) [SE.TER.GRAD]",2017 [YR2017] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2017 [YR2017] - Primary completion rate, both sexes (%) [SE.PRM.CMPT.ZS]","2017 [YR2017] - Adjusted net enrolment rate, upper secondary, both sexes (%) [UIS.NERA.3]","2017 [YR2017] - Graduates from ISCED 6 programmes in tertiary education, both sexes (number) [UIS.G.6.T]","2017 [YR2017] - Population, total [SP.POP.TOTL]","2017 [YR2017] - Graduates from tertiary education, both sexes (number) [SE.TER.GRAD]",2018 [YR2018] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2018 [YR2018] - Primary completion rate, both sexes (%) [SE.PRM.CMPT.ZS]","2018 [YR2018] - Adjusted net enrolment rate, upper secondary, both sexes (%) [UIS.NERA.3]","2018 [YR2018] - Graduates from ISCED 6 programmes in tertiary education, both sexes (number) [UIS.G.6.T]","2018 [YR2018] - Population, total [SP.POP.TOTL]","2018 [YR2018] - Graduates from tertiary education, both sexes (number) [SE.TER.GRAD]"
Afghanistan,AFG,364.660465388571,..,..,..,27722276,9270,438.076034406941,..,..,..,28394813,9623,543.303041863931,..,..,..,29185507,..,591.16234645088,..,..,..,30117413,..,641.872033785411,..,..,..,31161376,..,637.16504385598,..,29.61343,..,32269589,..,613.856332882312,..,29.76924,24093,33370794,24315,578.466352941708,..,29.01096,..,34413603,..,547.228110150363,79.9346,30.95788,..,35383128,..,556.302138508508,84.41495,31.20098,..,36296400,..,520.896602719135,85.62533,31.63828,66948,37172386,68434
Albania,ALB,4370.54008654749,92.39359,..,..,2947314,15653,4114.14015001395,91.05149,..,..,2927519,18327,4094.36211924475,88.83624,..,..,2913021,22358,4437.17806741261,92.98266,..,..,2905195,23046,4247.61427862374,98.67213,..,..,2900401,..,4413.0817427964,89.53918,68.97873,20351,2895092,30561,4578.66672031333,100.98472,73.08708,17469,2889104,29387,3952.82945832578,98.86159,73.01645,19152,2880703,33695,4124.10890718622,99.88155,73.18574,18652,2876101,31794,4532.89016212124,101.9837,75.39207,20423,2873457,35489,5268.84850355919,101.53786,73.39688,20108,2866376,34331
Algeria,DZA,4923.54009872171,112.97665,..,..,34730608,..,3883.37814284703,91.88226,..,..,35333881,154838,4480.72453900113,95.617,..,..,35977455,157973,5455.74133764262,97.6363,..,..,36661444,208536,5592.32609806051,101.55288,..,..,37383887,257773,5499.58148704572,106.03168,..,198847,38140132,255435,5493.02558996263,108.39158,..,210340,38923687,311511,4177.86751715913,105.54672,..,..,39728025,287914,3946.4214445883,105.59005,..,..,40551404,335096,4044.29837226523,105.63671,..,157997,41389198,..,4114.71506136896,105.14396,..,166235,42228429,330434
American Samoa,ASM,9792.66680581646,..,..,..,57492,..,11961.2582255703,..,..,..,56683,..,10271.2245225485,..,..,..,56079,..,10294.3022651052,..,..,..,55759,..,11568.7930012395,..,..,..,55667,..,11505.3937142139,..,..,..,55713,..,11507.2323493037,..,..,..,55791,..,11843.3311832581,..,..,..,55812,..,11696.9555623329,..,..,..,55741,..,10823.4448040273,..,..,..,55620,..,11466.6907058505,..,..,..,55465,..
Andorra,AND,47785.089272664,..,..,..,83862,42,43338.8667579064,..,..,..,84463,..,39736.3540626699,..,..,..,84449,..,41100.7299382214,..,..,..,83747,..,38392.9439012206,..,..,..,82427,82,40626.7516320228,..,..,79,80774,84,42300.3341276669,..,..,62,79213,72,36039.6534962289,..,..,43,78011,47,37224.1089162924,..,..,61,77297,72,39134.3933706717,..,..,43,77001,85,42029.7627372989,..,..,83,77006,104
Angola,AGO,4080.94140992346,39.19701,2.65486,..,21695634,..,3122.78076649385,38.78758,2.79409,..,22514281,..,3587.88379824396,39.80721,3.07786,..,23356246,..,4615.46802807906,46.18715,..,..,24220661,..,5100.09580809767,..,..,..,25107931,..,5254.88233799616,..,..,..,26015780,13547,5408.41049555432,..,..,..,26941779,..,4166.97968386501,..,..,..,27884381,12614,3506.07288506966,..,..,..,28842484,16421,4095.81294155857,..,..,..,29816748,..,3432.38573600893,..,..,..,30809762,..
Antigua and Barbuda,ATG,16024.3455512142,110.5548,..,..,85397,..,14113.0772600466,101.2633,46.63693,..,86746,152,13049.2570545735,106.60995,44.8565,..,88028,185,12746.2050243357,103.67695,..,..,89253,108,13272.4413293826,..,49.94964,..,90409,254,12909.7441775006,..,..,..,91516,..,13501.5809223367,111.15032,44.51634,..,92562,..,14286.0931598293,92.55548,47.42503,..,93566,..,15197.6174551735,..,..,..,94527,..,15383.4151884998,98.18578,57.04607,..,95426,..,16726.9808079479,96.19883,59.82019,..,96286,..
Arab World,ARB,6255.76115611177,84.57465,..,..,332424892,..,5267.55256330243,82.8911,..,..,340149038,..,6032.96195685802,84.36583,..,..,347737036,..,7005.47954059534,85.17569,..,..,355137048,..,7571.40240297227,87.03526,..,..,362466629,..,7715.99867662883,85.06061,..,..,369761523,..,..,85.99188,..,..,..,..,..,85.61407,..,..,..,..,..,85.12254,..,..,..,..,..,84.44785,..,..,..,..,..,84.96593,..,..,..,..
Argentina,ARG,9020.87309807194,103.14217,56.79887,..,40080160,235861,8225.13717626412,103.30387,54.60658,..,40482788,207575,10385.9644319555,103.56741,54.92954,..,40788453,208964,12848.8641969705,103.88771,56.85048,..,41261490,222000,13082.664325572,103.35225,59.12597,..,41733271,..,13080.2547323367,101.64501,60.95112,..,42202935,..,12334.7982453893,103.10644,62.00046,..,42669500,..,13789.060424772,102.97374,63.8713,..,43131966,..,12790.2424732447,103.89357,65.54071,..,43590368,..,14591.8633810541,99.96276,66.48466,..,44044811,..,11683.9496216363,..,..,..,44494502,..
Armenia,ARM,4010.85724255226,105.79289,..,..,2907618,28135,2994.34254448509,..,81.33966,..,2888092,37312,3218.37270660563,94.49523,82.53989,..,2877319,35002,3525.80474671153,93.80897,..,..,2876538,37466,3681.8574560431,93.85169,..,..,2884229,37815,3838.18580148382,..,..,24597,2897584,38082,3986.23162376713,96.65223,..,21944,2912403,36335,3607.29669672271,94.59064,..,19702,2925553,35128,3591.82927553023,90.75161,..,12666,2936146,27574,3914.5012684128,91.98771,..,19036,2944809,34505,4212.07094272937,89.87896,..,17787,2951776,29928
